icao24;typecode
404be4;ULAC
a6385a;BE20
3ef6df;GLID
e4804a;BE9L
39c949;VTOR
46a05a;B47G
0200f2;AT76
ac4e55;MU2
403fe2;COZY
a5d1f7;B737
c0343f;R44
3e1209;EC45
3d0fac;RALL
399035;CP10
a0333d;DHC2
aa1e38;CRJ7
a8d336;G550
405a35;DISC
a03252;FA62
404f1e;EN48
a252a7;E75L
c00fe9;BN2P
3c48c3;A320
a83822;B407
aab6f5;B06
401333;GLID
a1cbbc;STRK
4069c8;SR22
4b4941;GLID
a9047a;C680
383040;PA24
7c1a0c;BE20
49d032;P750
47858e;P28A
4bd4a1;G3
1488c8;AN2
a72420;LAMA
ab3e98;E75L
4692c9;A320
a43f2a;C25B
401b0d;UNDEFINED
391ab9;P28A
a482ca;B763
e0645a;B738
78111c;B738
a34593;AS50
3fc303;BALL
7c4307;R44
392895;BALL
4035b7;ULAC
780ac6;A321
a49227;DC10
e480b0;C208
a1e258;ST75
71c085;B789
a5407f;R44
a000f5;WW24
a66b9e;FA50
345050;B712
a3ae8c;S58T
444906;PARA
404dbf;AAT3
e48f53;E35L
a3ff3a;B212
343250;C414
402fbf;L8
4a81c5;EC20
403ad6;ULAC
3ef0e8;GLID
02a1b1;A320
406ad4;BALL
a96659;T28
404cd4;A109
3faa2d;H53
aae599;E140
484de9;ULAC
a5a7a4;CORS
e07601;ST75
a905cb;DHC2
460742;C152
40696d;D150
392732;DR40
4aa76e;AS50
400f32;R44
a84059;C172
ad62f9;MD83
3aabfd;TBM7
a57d33;R44
896214;B77W
7c804e;BE20
ab71a0;R44
c00f37;P28R
a34c0a;B407
4ca736;B738
48ada5;E195
7c23a8;R22
47ae12;CRUZ
7c05a8;R22
3fedf2;ULAC
e94b69;B733
780d1b;A320
adc2b5;PRM1
a863d1;T6
3ef6ea;GLID
a96a15;T6
143768;MI2
43e8a5;GLEX
c0319a;C208
403a7b;GYRO
a4f436;B06
402f85;BALL
ae4f13;C17
7609a6;B190
abab46;DC6
3d1f14;P28R
3ee48b;GLID
484d8e;GLID
710265;TOR
514013;CL85
a83739;VALI
0081ff;L410
e03245;E190
a0ba62;KODI
3f9717;TOR
392226;BALL
49d404;PC24
3e61ba;DG80
49b604;Z26
40585f;GLID
4bea96;PA36
401c24;C150
3eff6f;G102
c8134c;P40
3d273e;P28A
3ee434;GLID
4a0663;A318
43e7c0;G450
a64996;A320
a173de;BE30
abc1b1;C650
7c6112;BABY
7c054d;PA30
4d02e2;GL7T
abeeea;B738
c81fdf;H500
458856;P28A
861f32;B06
4048ab;PA34
ac391e;H900
3f037a;GLID
780ad1;A332
3fcae6;BALL
4954e9;ULAC
478542;C210
448d63;C182
a5e761;H500
ae0271;K35R
40244e;ULAC
a7d3fc;A139
401958;C172
780f17;E50P
a2e730;T6
444911;PARA
8007e1;A320
402fca;UNDEFINED
3eff18;GLID
3eec0e;GLID
7c1c6a;C172
ad3ce5;AS32
e4910e;A332
728605;MI2
153e6f;AN2
e48618;B738
3f3f0e;BALL
4845a2;PA34
800184;C208
aa6890;C525
a7028d;ST75
4b51ef;DG1T
3de675;S76
505d38;C172
ada403;ST75
3ef17d;GLID
402030;IFUR
a0afb1;R44
75014b;A320
402c49;AA5
acf855;B47G
3d12f6;C172
ad564b;C56X
4614a5;B412
3f704f;TOR
a421a7;T6
3d42f4;RV6
c87f05;C130
a8da67;EA50
a393f9;P51
a380ef;EC30
3f03e0;GLID
3e5f4f;AS26
a057c8;ZZZZ
aa9bb7;B788
48d898;F16
4b3e74;B407
a65688;H500
a63888;R44
140775;A119
a68936;C750
405def;GLID
a66886;C25C
7c8002;AS55
a3049d;C525
393959;SS2T
a4c193;R22
a36855;UH1
a74760;FA62
780cac;B738
404d90;BALL
e17195;H500
8963f3;A388
a18e88;SBR1
a979b3;BE30
aa1f65;B737
a6d5e6;O1
4c0806;CH7B
440555;SR20
00ae67;R66
