T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;SID;FLOW_CONTROL_STATE;CTOT
21-7-2020 07:35:12;21011208;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 07:35:12;21011209;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 07:35:12;21011210;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 07:35:12;21011211;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 07:35:12;21011213;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 07:35:12;21011214;;21-7-2020 08:16:27;;;CLEARED;
21-7-2020 08:35:15;21011015;06;21-7-2020 08:17:22;HGR;;CLEARED;
21-7-2020 08:35:16;21011009;36C;21-7-2020 08:18:01;A63;IVL3W;CLEARED;
21-7-2020 08:35:15;21010958;05;21-7-2020 08:18:10;FS;;CLEARED;
21-7-2020 08:35:16;21011016;36L;21-7-2020 08:18:34;A64;VOL2V;CLEARED;
21-7-2020 08:35:16;21010976;36C;21-7-2020 08:19:30;C10;IVL3W;CLEARED;
21-7-2020 08:35:16;21011007;36L;21-7-2020 08:20:00;B94;BER4V;CLEARED;
21-7-2020 08:35:16;21011070;;21-7-2020 08:20:00;;;CLEARED;
21-7-2020 08:35:16;21011029;36C;21-7-2020 08:20:21;D41;WDY2W;CLEARED;
21-7-2020 08:35:17;21010999;36C;21-7-2020 08:22:10;B27;IVL3W;CLEARED;
21-7-2020 08:20:18;21011340;;21-7-2020 08:23:00;;;CLEARED;
21-7-2020 08:35:17;21011018;36C;21-7-2020 08:23:40;D24;IVL3W;CLEARED;
21-7-2020 08:35:17;21010975;36C;21-7-2020 08:25:03;A35;IVL3W;CLEARED;
21-7-2020 08:35:18;21011039;36L;21-7-2020 08:25:18;D27;BER4V;CLEARED;
21-7-2020 08:35:18;21011019;36C;21-7-2020 08:26:42;B31;WDY2W;CLEARED;
21-7-2020 08:35:18;21011011;36C;21-7-2020 08:27:43;D04;NYK4W;CLEARED;
21-7-2020 08:50:14;21011023;36L;21-7-2020 08:30:17;A44;SPY3V;CLEARED;
21-7-2020 08:50:18;21011264;;21-7-2020 08:31:00;;;CLEARED;
21-7-2020 08:50:14;21011370;23;21-7-2020 08:31:00;;;CLEARED;
21-7-2020 08:50:15;21011048;36C;21-7-2020 08:32:29;A61;NYK4W;CLEARED;
21-7-2020 08:50:15;21011058;21;21-7-2020 08:33:45;;GIK2M;CLEARED;
21-7-2020 08:50:15;21011000;36L;21-7-2020 08:33:59;D25;BER4V;CLEARED;
21-7-2020 08:50:15;21011223;;21-7-2020 08:34:00;;;CLEARED;
21-7-2020 08:50:15;21011327;;21-7-2020 08:34:00;;;CLEARED;
21-7-2020 08:50:15;21011035;36L;21-7-2020 08:34:58;B32;SPY3V;CLEARED;
21-7-2020 05:50:16;21011066;;21-7-2020 08:35:00;;;CLEARED;
21-7-2020 08:50:15;21011342;06;21-7-2020 08:35:21;L;;CLEARED;
21-7-2020 08:50:15;21011028;03;21-7-2020 08:35:24;;VEL2J;CLEARED;
21-7-2020 08:50:16;21011056;36L;21-7-2020 08:35:48;J84;BER4V;CLEARED;
21-7-2020 08:50:16;21011049;22;21-7-2020 08:36:07;GD;KDD1G;CLEARED;
21-7-2020 08:50:15;21011363;05;21-7-2020 08:36:23;I5;;CLEARED;
21-7-2020 08:50:16;21011080;21;21-7-2020 08:36:50;;ATR2M;CLEARED;
21-7-2020 08:50:16;21011024;36C;21-7-2020 08:37:01;C13;NYK4W;CLEARED;
21-7-2020 08:50:16;21011051;03;21-7-2020 08:37:37;;VEL2J;CLEARED;
21-7-2020 08:50:16;21011022;36L;21-7-2020 08:37:48;C14;SPY3V;CLEARED;
21-7-2020 08:50:16;21010993;36C;21-7-2020 08:38:31;A43;IVL3W;CLEARED;
21-7-2020 08:50:17;21011012;36L;21-7-2020 08:39:17;A33;VOL2V;CLEARED;
21-7-2020 08:50:16;21011055;05;21-7-2020 08:39:28;F;;CLEARED;
21-7-2020 08:50:17;21011025;36C;21-7-2020 08:39:50;G02;IVL3W;CLEARED;
21-7-2020 08:50:17;21011036;36L;21-7-2020 08:39:58;C08;SPY3V;CLEARED;
21-7-2020 08:50:17;21011089;;21-7-2020 08:40:00;;;CLEARED;
21-7-2020 08:50:17;21011074;21;21-7-2020 08:41:20;;ATR2M;CLEARED;
21-7-2020 08:50:17;21011037;36C;21-7-2020 08:41:22;B35;NYK4W;CLEARED;
21-7-2020 08:50:18;21011038;36C;21-7-2020 08:42:54;B24;IVL3W;CLEARED;
21-7-2020 09:05:13;21011052;;21-7-2020 08:43:00;;;CLEARED;
21-7-2020 08:50:17;21011274;05;21-7-2020 08:43:09;FS;;CLEARED;
21-7-2020 08:50:18;21011059;36L;21-7-2020 08:43:25;A52;VOL2V;CLEARED;
21-7-2020 08:50:18;21011073;03;21-7-2020 08:43:38;AZ;TEN1A;CLEARED;
21-7-2020 09:05:12;21011027;36L;21-7-2020 08:44:26;G07;BER4V;CLEARED;
21-7-2020 06:05:15;21011078;;21-7-2020 08:45:00;;;CLEARED;
21-7-2020 09:05:13;21011346;21;21-7-2020 08:45:33;;LNO2B;CLEARED;
21-7-2020 08:50:16;21011177;27;21-7-2020 08:48:00;;NG227;CLEARED;
21-7-2020 09:05:14;21011014;36L;21-7-2020 08:48:35;E20;BER4V;CLEARED;
21-7-2020 09:05:13;21010959;05;21-7-2020 08:48:37;F;;CLEARED;
21-7-2020 09:05:14;21011098;05;21-7-2020 08:50:45;FS;;CLEARED;
21-7-2020 09:05:14;21011097;05;21-7-2020 08:51:10;C;;CLEARED;
21-7-2020 07:20:17;21011199;;21-7-2020 08:51:27;;;CLEARED;
21-7-2020 07:20:17;21011200;;21-7-2020 08:51:27;;;CLEARED;
21-7-2020 09:05:16;21011057;05;21-7-2020 08:53:00;H;GRN1L;CLEARED;
21-7-2020 09:05:15;21011231;23;21-7-2020 08:54:13;K;;CLEARED;
21-7-2020 09:05:16;21011081;36L;21-7-2020 08:54:44;D51;SPY3V;CLEARED;
21-7-2020 09:05:12;21011396;;21-7-2020 08:56:00;;;CLEARED;
21-7-2020 09:05:16;21011276;05;21-7-2020 08:56:19;F;;CLEARED;
21-7-2020 09:05:16;21011092;06;21-7-2020 08:56:29;L;;CLEARED;
21-7-2020 09:35:12;21011453;;21-7-2020 08:57:00;;;CLEARED;
21-7-2020 09:05:16;21011091;06;21-7-2020 08:57:30;HGR;;CLEARED;
21-7-2020 09:20:13;21011272;21;21-7-2020 08:59:36;;ATR2M;CLEARED;
21-7-2020 06:20:13;21011096;;21-7-2020 09:00:00;;;CLEARED;
21-7-2020 07:50:16;21011154;;21-7-2020 09:00:00;;;CLEARED;
21-7-2020 09:20:15;21011184;;21-7-2020 09:00:00;;;CLEARED;
21-7-2020 09:20:14;21011359;05;21-7-2020 09:01:19;G1;;CLEARED;
21-7-2020 09:20:14;21011075;06;21-7-2020 09:03:16;VCR;;CLEARED;
21-7-2020 09:20:15;21011050;05;21-7-2020 09:04:44;C1;;CLEARED;
21-7-2020 09:20:15;21011435;24;21-7-2020 09:04:47;;;CLEARED;
21-7-2020 09:20:15;21011077;23;21-7-2020 09:04:58;;RLU1D;CLEARED;
21-7-2020 09:20:15;21011017;23;21-7-2020 09:06:43;L;DOB2D;CLEARED;
21-7-2020 09:05:17;21011421;;21-7-2020 09:08:00;;;CLEARED;
21-7-2020 09:20:16;21011094;06;21-7-2020 09:08:18;A1;LUN1A;CLEARED;
21-7-2020 09:20:16;21011106;36L;21-7-2020 09:09:19;G05;BER4V;CLEARED;
21-7-2020 09:20:18;21011301;24;21-7-2020 09:10:00;L;;CLEARED;
21-7-2020 09:20:17;21011247;23;21-7-2020 09:11:00;KLS;;CLEARED;
21-7-2020 09:20:17;21011088;36L;21-7-2020 09:11:27;B20;ARN1V;CLEARED;
21-7-2020 09:20:17;21011095;03;21-7-2020 09:12:42;;WDY5J;CLEARED;
21-7-2020 09:20:17;21011232;05;21-7-2020 09:12:52;I3;;CLEARED;
21-7-2020 09:35:12;21011454;;21-7-2020 09:13:00;;;CLEARED;
21-7-2020 09:35:12;21011068;36L;21-7-2020 09:13:57;R74;REN1V;CLEARED;
21-7-2020 09:20:18;21011318;05;21-7-2020 09:14:05;A;;CLEARED;
21-7-2020 09:20:18;21011364;24;21-7-2020 09:14:19;L;;CLEARED;
21-7-2020 07:35:14;21011144;;21-7-2020 09:15:00;;;CLEARED;
21-7-2020 09:35:13;21011090;04;21-7-2020 09:15:25;GD;REN1F;CLEARED;
21-7-2020 09:35:13;21011107;36L;21-7-2020 09:17:20;C09;KDD1V;CLEARED;
21-7-2020 09:35:13;21011082;23;21-7-2020 09:17:38;;RLU1D;CLEARED;
21-7-2020 09:35:14;21011110;23;21-7-2020 09:19:17;F;;CLEARED;
21-7-2020 09:35:14;21011079;24;21-7-2020 09:21:16;G F;;CLEARED;
21-7-2020 09:35:15;21011155;;21-7-2020 09:22:00;;;CLEARED;
21-7-2020 09:35:15;21011382;23;21-7-2020 09:22:26;G5;;CLEARED;
21-7-2020 09:35:15;21011113;36L;21-7-2020 09:23:32;J85;SPY3V;CLEARED;
21-7-2020 09:35:15;21011357;24;21-7-2020 09:25:03;HGR;;CLEARED;
21-7-2020 09:35:16;21011111;;21-7-2020 09:27:00;;;CLEARED;
21-7-2020 09:05:14;21011406;;21-7-2020 09:30:00;;;CLEARED;
21-7-2020 09:50:13;21011119;36L;21-7-2020 09:30:13;D16;REN1V;CLEARED;
21-7-2020 09:50:13;21011230;23;21-7-2020 09:31:24;K;;CLEARED;
21-7-2020 09:50:13;21011128;36L;21-7-2020 09:31:29;G04;VOL2V;CLEARED;
