T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;STACK
5-8-2019 08:35;20454227;21;5-8-2019 08:22;;null
5-8-2019 08:35;20454241;18R;5-8-2019 08:24;D26;SUGOL
5-8-2019 08:35;20454211;18R;5-8-2019 08:25;D18;ARTIP
5-8-2019 08:35;20454213;22;5-8-2019 08:26;GL;RIVER
5-8-2019 08:35;20454275;18R;5-8-2019 08:27;D07;SUGOL
5-8-2019 08:35;20454296;24;5-8-2019 08:27;JA;null
5-8-2019 08:50;20454247;18R;5-8-2019 08:29;F08;RIVER
5-8-2019 08:35;20454270;27;5-8-2019 08:29;;null
5-8-2019 08:50;20454773;24;5-8-2019 08:30;X;null
5-8-2019 08:50;20454325;18R;5-8-2019 08:31;D03;SUGOL
5-8-2019 08:50;20454243;18R;5-8-2019 08:33;D22;RIVER
5-8-2019 08:50;20454333;21;5-8-2019 08:34;;null
5-8-2019 08:50;20454343;18R;5-8-2019 08:35;E22;SUGOL
5-8-2019 08:50;20454288;18R;5-8-2019 08:36;E06;SUGOL
5-8-2019 06:35;20454484;;5-8-2019 08:36;;null
5-8-2019 08:50;20454286;18R;5-8-2019 08:38;G79;SUGOL
5-8-2019 08:35;20454510;24R;5-8-2019 08:38;;null
5-8-2019 08:50;20454274;18C;5-8-2019 08:39;C16;ARTIP
5-8-2019 08:50;20454293;21;5-8-2019 08:40;;null
5-8-2019 08:50;20454271;18R;5-8-2019 08:40;D54;SUGOL
5-8-2019 08:50;20454289;18R;5-8-2019 08:41;G08;SUGOL
5-8-2019 08:50;20454246;18C;5-8-2019 08:43;C13;RIVER
5-8-2019 09:05;20454308;18R;5-8-2019 08:43;D49;SUGOL
5-8-2019 09:05;20454307;18C;5-8-2019 08:45;C11;RIVER
5-8-2019 09:05;20454278;18R;5-8-2019 08:45;D48;SUGOL
5-8-2019 09:05;20454299;18C;5-8-2019 08:47;B35;RIVER
5-8-2019 09:05;20454310;18R;5-8-2019 08:47;F09;SUGOL
5-8-2019 09:05;20454242;21;5-8-2019 08:48;;null
5-8-2019 09:05;20454249;18C;5-8-2019 08:48;D16;ARTIP
5-8-2019 09:05;20454365;18R;5-8-2019 08:48;F07;SUGOL
5-8-2019 09:05;20454224;21;5-8-2019 08:49;B2;null
5-8-2019 09:05;20454295;18C;5-8-2019 08:49;C10;RIVER
5-8-2019 07:50;20454681;;5-8-2019 08:51;;null
5-8-2019 09:05;20454358;18C;5-8-2019 08:51;D23;RIVER
5-8-2019 09:05;20454306;18C;5-8-2019 08:53;B17;ARTIP
5-8-2019 09:05;20454362;21;5-8-2019 08:53;;null
5-8-2019 08:50;20454797;24R;5-8-2019 08:53;;null
5-8-2019 09:05;20454345;18C;5-8-2019 08:54;E04;ARTIP
5-8-2019 09:05;20454337;24;5-8-2019 08:54;JA;null
5-8-2019 09:05;20454649;21;5-8-2019 08:55;;null
5-8-2019 09:05;20454330;18R;5-8-2019 08:55;C09;RIVER
5-8-2019 09:05;20454361;18R;5-8-2019 08:57;H04;SUGOL
5-8-2019 09:05;20454256;21;5-8-2019 08:58;;null
5-8-2019 09:20;20454339;18C;5-8-2019 08:59;B24;ARTIP
5-8-2019 05:20;20454259;;5-8-2019 09:00;;null
5-8-2019 09:20;20454367;18R;5-8-2019 09:00;A31;SUGOL
5-8-2019 09:20;20454321;18C;5-8-2019 09:00;A33;ARTIP
5-8-2019 09:20;20454350;18R;5-8-2019 09:01;A61;SUGOL
5-8-2019 09:20;20454800;24R;5-8-2019 09:02;;null
5-8-2019 09:20;20454799;24R;5-8-2019 09:03;;null
5-8-2019 07:05;20454536;;5-8-2019 09:04;;null
5-8-2019 09:20;20454519;;5-8-2019 09:05;HG0;null
5-8-2019 09:20;20454323;18C;5-8-2019 09:05;B15;RIVER
5-8-2019 09:20;20454558;25;5-8-2019 09:05;;null
5-8-2019 09:20;20454380;18R;5-8-2019 09:06;A62;SUGOL
5-8-2019 09:20;20454560;25;5-8-2019 09:06;;null
5-8-2019 09:05;20454796;24R;5-8-2019 09:06;;null
5-8-2019 09:20;20454377;18C;5-8-2019 09:07;A52;RIVER
5-8-2019 09:05;20454835;;5-8-2019 09:07;;null
5-8-2019 09:20;20454395;24;5-8-2019 09:09;D2;null
5-8-2019 09:20;20454351;18C;5-8-2019 09:09;C12;RIVER
5-8-2019 09:20;20454352;18R;5-8-2019 09:09;A41;RIVER
5-8-2019 06:50;20454505;;5-8-2019 09:09;;null
5-8-2019 09:20;20454403;18C;5-8-2019 09:11;B28;RIVER
5-8-2019 09:20;20454376;18R;5-8-2019 09:11;D05;SUGOL
5-8-2019 09:20;20454366;18C;5-8-2019 09:13;C04;RIVER
5-8-2019 09:05;20454426;;5-8-2019 09:14;;null
5-8-2019 09:35;20454326;18C;5-8-2019 09:14;B27;ARTIP
5-8-2019 09:35;20454404;18R;5-8-2019 09:15;B16;RIVER
5-8-2019 09:35;20454468;21;5-8-2019 09:15;;null
5-8-2019 09:35;20454401;18C;5-8-2019 09:15;B32;ARTIP
5-8-2019 09:20;20454507;24R;5-8-2019 09:16;;null
5-8-2019 09:35;20454368;18R;5-8-2019 09:17;A51;SUGOL
5-8-2019 09:35;20454370;18C;5-8-2019 09:17;G04;ARTIP
5-8-2019 09:35;20454719;21;5-8-2019 09:18;C5;null
5-8-2019 09:35;20454416;5;5-8-2019 09:19;A14;null
5-8-2019 06:50;20454509;;5-8-2019 09:19;;null
5-8-2019 09:35;20454402;18R;5-8-2019 09:19;H05;RIVER
5-8-2019 09:35;20454379;18C;5-8-2019 09:19;A44;ARTIP
5-8-2019 09:35;20454432;21;5-8-2019 09:19;;null
5-8-2019 07:50;20454236;;5-8-2019 09:21;;null
5-8-2019 09:35;20454431;21;5-8-2019 09:21;AZ;null
5-8-2019 09:35;20454340;18R;5-8-2019 09:21;B23;RIVER
5-8-2019 09:35;20454381;18C;5-8-2019 09:21;B31;ARTIP
5-8-2019 09:35;20454406;18C;5-8-2019 09:22;C05;ARTIP
5-8-2019 09:35;20454442;18R;5-8-2019 09:22;D25;RIVER
5-8-2019 09:35;20454292;18C;5-8-2019 09:24;A73;ARTIP
5-8-2019 09:35;20454444;18R;5-8-2019 09:24;A56;SUGOL
5-8-2019 06:35;20454482;;5-8-2019 09:25;;null
5-8-2019 09:35;20454353;18C;5-8-2019 09:25;A65;ARTIP
5-8-2019 09:35;20454436;18R;5-8-2019 09:25;A55;RIVER
5-8-2019 09:35;20454407;18C;5-8-2019 09:26;C06;ARTIP
5-8-2019 09:35;20454364;18R;5-8-2019 09:27;A34;SUGOL
5-8-2019 09:35;20454397;18C;5-8-2019 09:28;H03;RIVER
5-8-2019 09:35;20454894;;5-8-2019 09:28;;null
5-8-2019 09:50;20454445;18R;5-8-2019 09:28;A32;SUGOL
5-8-2019 09:50;20454363;18C;5-8-2019 09:29;C18;ARTIP
5-8-2019 09:35;20454449;21;5-8-2019 09:29;;null
5-8-2019 09:50;20454394;18R;5-8-2019 09:30;H01;SUGOL
5-8-2019 09:50;20454433;18C;5-8-2019 09:30;C08;ARTIP
5-8-2019 09:50;20454405;18R;5-8-2019 09:31;F05;SUGOL
5-8-2019 09:50;20454400;18C;5-8-2019 09:32;G02;ARTIP
5-8-2019 08:35;20454555;;5-8-2019 09:33;;null
5-8-2019 08:20;20454636;;5-8-2019 09:33;;null
5-8-2019 09:50;20454434;18R;5-8-2019 09:33;D53;SUGOL
5-8-2019 09:50;20454369;18C;5-8-2019 09:33;D24;ARTIP
5-8-2019 09:50;20454344;18C;5-8-2019 09:35;B13;ARTIP
5-8-2019 09:50;20454439;18R;5-8-2019 09:35;B36;SUGOL
5-8-2019 09:50;20454440;18C;5-8-2019 09:36;D52;SUGOL
5-8-2019 09:50;20454477;18R;5-8-2019 09:37;A64;SUGOL
5-8-2019 09:35;20454791;;5-8-2019 09:39;;null
5-8-2019 09:50;20454415;18C;5-8-2019 09:39;H06;RIVER
5-8-2019 09:50;20454127;18R;5-8-2019 09:41;D29;SUGOL
5-8-2019 09:50;20454443;18C;5-8-2019 09:42;F06;SUGOL
