T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;SID;FLOW_CONTROL_STATE;CTOT
5-8-2019 07:20;20454119;3;5-8-2019 07:03;;KOL2L;CLEARED;null
5-8-2019 07:20;20454106;24;5-8-2019 07:04;A33;KDD1S;CLEARED;null
5-8-2019 07:20;20454114;24;5-8-2019 07:06;H04;AND1S;NOT_RESTRICTED;5-8-2019 07:06
5-8-2019 07:20;20454107;24;5-8-2019 07:07;H06;VAL2S;CLEARED;5-8-2019 07:27
5-8-2019 07:20;20454096;24;5-8-2019 07:08;A43;KDD1S;CLEARED;null
5-8-2019 07:20;20454133;21;5-8-2019 07:09;;VEL3K;CLEARED;null
5-8-2019 07:20;20454069;24;5-8-2019 07:10;E04;VAL2S;CLEARED;null
5-8-2019 07:20;20454095;24;5-8-2019 07:11;B17;ARN2S;NOT_RESTRICTED;5-8-2019 07:06
5-8-2019 07:20;20454131;24;5-8-2019 07:13;B15;REN1S;NOT_RESTRICTED;5-8-2019 07:13
5-8-2019 06:35;20454487;;5-8-2019 07:15;;;CLEARED;null
5-8-2019 11:20;20455190;;5-8-2019 07:15;;;CLEARED;null
5-8-2019 07:35;20454135;24;5-8-2019 07:15;A53;VAL2S;CLEARED;5-8-2019 07:14
5-8-2019 07:35;20454115;24;5-8-2019 07:16;A74;KDD1S;NOT_RESTRICTED;5-8-2019 07:16
5-8-2019 07:35;20454085;21;5-8-2019 07:16;;XOM1K;CLEARED;null
5-8-2019 07:35;20454134;24;5-8-2019 07:17;A46;BER1S;CLEARED;null
5-8-2019 07:35;20454104;24;5-8-2019 07:18;A35;KDD1S;CLEARED;null
5-8-2019 07:35;20454152;24;5-8-2019 07:19;JA;LUN1B;CLEARED;null
5-8-2019 07:35;20454486;24;5-8-2019 07:20;;VK6;CLEARED;null
5-8-2019 07:35;20454132;24;5-8-2019 07:20;A72;KDD1S;CLEARED;5-8-2019 07:13
5-8-2019 07:20;20454607;;5-8-2019 07:22;;;CLEARED;null
5-8-2019 07:35;20454139;24;5-8-2019 07:22;B36;ARN2S;CLEARED;null
5-8-2019 07:35;20454182;24;5-8-2019 07:22;JA;WDY1B;CLEARED;null
5-8-2019 07:35;20454151;24;5-8-2019 07:23;A73;KDD1S;CLEARED;null
5-8-2019 07:35;20454386;24;5-8-2019 07:23;L;WDY1B;CLEARED;null
5-8-2019 07:35;20454148;24;5-8-2019 07:24;D10;BER1S;CLEARED;null
5-8-2019 06:50;20454490;;5-8-2019 07:25;;;CLEARED;null
5-8-2019 07:35;20454342;24;5-8-2019 07:26;L;;CLEARED;null
5-8-2019 07:35;20454519;22;5-8-2019 07:27;HG0;;CLEARED;null
5-8-2019 07:35;20454138;24;5-8-2019 07:27;H07;BER1S;CLEARED;null
5-8-2019 07:50;20454156;24;5-8-2019 07:29;A41;BER1S;CLEARED;null
5-8-2019 07:50;20454183;;5-8-2019 07:29;;;CLEARED;null
5-8-2019 07:50;20454158;21;5-8-2019 07:29;;VEL3K;CLEARED;null
5-8-2019 04:50;20454185;;5-8-2019 07:30;;;CLEARED;null
5-8-2019 07:50;20454117;21;5-8-2019 07:30;C3;LNO2B;NOT_RESTRICTED;5-8-2019 07:20
5-8-2019 07:50;20454489;24R;5-8-2019 07:30;;VK6;CLEARED;null
5-8-2019 07:50;20454251;24;5-8-2019 07:31;E18;BER1S;CLEARED;null
5-8-2019 07:50;20454160;18L;5-8-2019 07:31;A64;REN1E;CLEARED;null
5-8-2019 07:50;20454150;24;5-8-2019 07:32;HGR;AND1B;CLEARED;null
5-8-2019 07:50;20454147;21;5-8-2019 07:32;;VEL3K;;5-8-2019 07:34
5-8-2019 07:50;20454157;24;5-8-2019 07:33;B24;SPY3K;CLEARED;null
5-8-2019 07:50;20454173;24;5-8-2019 07:34;A44;VAL2S;CLEARED;null
5-8-2019 07:50;20454279;24;5-8-2019 07:35;D23;SPY3K;CLEARED;null
5-8-2019 07:50;20454153;18L;5-8-2019 07:36;A56;REN1E;NOT_RESTRICTED;5-8-2019 07:38
5-8-2019 07:50;20454179;24;5-8-2019 07:37;A54;BER1S;CLEARED;null
5-8-2019 07:50;20454188;22;5-8-2019 07:37;GD;KDD1G;CLEARED;null
5-8-2019 07:50;20454186;18L;5-8-2019 07:39;C16;KDD1E;CLEARED;null
5-8-2019 07:50;20454178;24;5-8-2019 07:39;D31;VAL2S;CLEARED;null
5-8-2019 07:50;20454492;24R;5-8-2019 07:39;;VK6;CLEARED;null
5-8-2019 07:50;20454168;18L;5-8-2019 07:40;B93;ARN3E;CLEARED;null
5-8-2019 07:50;20454192;24;5-8-2019 07:40;A75;BER1S;CLEARED;null
5-8-2019 07:50;20454174;18L;5-8-2019 07:41;C10;KDD1E;CLEARED;null
5-8-2019 07:50;20454559;25;5-8-2019 07:42;;IFRG;CLEARED;null
5-8-2019 07:50;20454187;18L;5-8-2019 07:42;C15;REN1E;NOT_RESTRICTED;5-8-2019 07:41
5-8-2019 08:05;20454181;18L;5-8-2019 07:43;C07;KDD1E;CLEARED;null
5-8-2019 11:20;20455195;;5-8-2019 07:43;;;CLEARED;null
5-8-2019 08:05;20454184;21;5-8-2019 07:44;;;CLEARED;null
5-8-2019 08:05;20454194;18L;5-8-2019 07:45;B32;REN1E;NOT_RESTRICTED;5-8-2019 07:46
5-8-2019 07:05;20454561;;5-8-2019 07:45;;;CLEARED;null
5-8-2019 08:05;20454196;18L;5-8-2019 07:45;D12;KDD1E;CLEARED;5-8-2019 08:03
5-8-2019 08:05;20454204;24;5-8-2019 07:46;D2;WDY1B;CLEARED;null
5-8-2019 08:05;20454094;18L;5-8-2019 07:47;B27;REN1E;CLEARED;5-8-2019 08:10
5-8-2019 08:05;20454159;24;5-8-2019 07:48;C05;SPY3K;CLEARED;null
5-8-2019 08:05;20454193;18L;5-8-2019 07:48;A61;KDD1E;CLEARED;null
5-8-2019 08:05;20454202;18L;5-8-2019 07:50;C04;KDD1E;CLEARED;null
5-8-2019 08:05;20454558;25;5-8-2019 07:50;;VFRW;CLEARED;null
