T_UPDATE;FLIGHT_ID;SFPL_ID;CALLSIGN;REGISTRATION;OPERATOR;TYPE_OF_TRANSPONDER;SSR;FLIGHT_RULES;FLIGHT_TYPE;T0;ICAO_ACTYPE;WTC;ADEP;DEST;TAS;RFL;NFL;XFL;CFMU_DELAY;CONTROL;STATUS;FPOS_TRACK_ID
12-9-2021 10:50:16;21519664;1513;KLM168;PHBVR;KLM;L;3247;I;INBOUND;12-9-2021 07:06:59;B77W;H;KATL;EHAM;485;350;250;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:20:10;21519665;1514;PHRES;null;null;S;null;V;REGIONAL;12-9-2021 07:09:28;C172;L;EHRD;EHRD;90;0;null;null;0;null;CONTROLLED;0
12-9-2021 11:05:17;21519666;1515;BAW431;GZBKB;BAW;L;3258;I;OUTBOUND;12-9-2021 07:10:00;B789;H;EHAM;EGLL;428;240;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:20:16;21519667;1516;PAV12;DFWIT;PAV;L;3047;I;REGIONAL;12-9-2021 07:10:00;PC12;L;LSGK;EHAM;180;180;20;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:35:15;21519668;1517;TAP674C;CSTJF;TAP;L;329;I;INBOUND;12-9-2021 07:10:00;A321;M;LPPT;EHAM;444;360;220;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:05:15;21519669;1518;WZZ4252;HALJA;WZZ;L;1651;I;REGIONAL;12-9-2021 07:10:00;A20N;M;EHEH;EPKT;381;230;null;160;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:20:16;21519670;1519;MAC122B;A6AOJ;MAC;L;1112;I;OUTBOUND;12-9-2021 07:10:00;A320;M;EHAM;GMMW;452;350;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 07:35:13;21519671;1520;PHSWP;null;null;S;null;V;REGIONAL;12-9-2021 07:10:41;C208;L;EHHO;EHHO;100;0;null;null;0;null;CANCELLED;0
12-9-2021 12:20:15;21519672;1521;N217SR;N217SR;null;S;null;V;REGIONAL;12-9-2021 07:10:45;SR22;L;EDKB;EHTX;150;0;null;null;0;null;null;0
12-9-2021 13:35:14;21519673;1522;LXAIB;null;null;S;null;V;REGIONAL;12-9-2021 07:10:51;P28A;L;ELLX;EHTX;95;0;null;null;0;null;CONTROLLED;0
12-9-2021 11:05:12;21519674;1523;TRA99X;PHHSM;TRA;L;2788;I;REGIONAL;12-9-2021 07:12:00;B738;M;LEIB;EHRD;447;380;160;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:35:14;21519675;1524;KLM751;PHBQD;KLM;L;3274;I;INBOUND;12-9-2021 07:13:47;B772;H;SEGU;EHAM;485;330;250;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 07:50:11;21519676;1525;LIFELN2;null;null;S;null;V;REGIONAL;12-9-2021 07:14:25;EC35;L;EHRD;EHRD;100;0;null;null;0;null;CONTROLLED;0
12-9-2021 12:50:13;21519677;1526;PHFLD;null;null;S;null;V;REGIONAL;12-9-2021 07:14:56;DA40;L;EHLE;EHTX;115;0;null;null;0;null;CONTROLLED;0
12-9-2021 11:20:17;21519678;1527;AFR53DD;FHMLA;AFR;H;512;I;OUTBOUND;12-9-2021 07:15:01;CRJX;M;EHAM;LFRN;431;330;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 12:05:13;21519679;1528;AZA107;EIIMX;AZA;L;512;I;OUTBOUND;12-9-2021 07:15:01;A319;M;EHAM;LIRF;448;370;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:35:11;21519680;1529;CPA270;BLQF;CPA;L;1637;I;OUTBOUND;12-9-2021 07:15:01;A359;H;EHAM;VHHH;483;390;null;290;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:50:10;21519681;1530;EJU76PQ;OELKC;EJU;L;2937;I;INBOUND;12-9-2021 07:15:01;A319;M;LEPA;EHAM;437;320;220;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:20:16;21519682;1531;KLM79Q;PHEZA;KLM;H;1641;I;OUTBOUND;12-9-2021 07:15:01;E190;M;EHAM;ESGG;445;390;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:35:14;21519683;1532;PHKGJ;null;null;S;null;V;REGIONAL;12-9-2021 07:15:01;EC20;L;ZZZZ;EHLE;100;0;null;null;0;null;CONTROLLED;0
12-9-2021 12:05:13;21519684;1533;N20119;null;null;S;null;V;TRANSIT;12-9-2021 07:15:11;BE24;L;EBAW;EDRE;120;0;null;null;0;null;null;0
12-9-2021 09:20:11;21519685;1534;PHXYZ;null;null;S;null;V;REGIONAL;12-9-2021 07:16:53;DR40;L;EHRD;EHRD;100;0;null;null;0;null;CANCELLED,CONTROLLED;0
12-9-2021 14:20:13;21519686;1535;REV942P;GREXA;REV;L;1045;I;TRANSIT;12-9-2021 07:19:01;BE20;L;EGPN;EBBR;287;150;260;150;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:20:12;21519687;1536;EJU7910;OEIVJ;EJU;L;2810;I;INBOUND;12-9-2021 07:20:01;A320;M;LEVC;EHAM;436;220;220;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:50:13;21519688;1537;SVA215;HZAR23;SVA;L;993;I;INBOUND;12-9-2021 07:20:01;B789;H;OERK;EHAM;498;380;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:35:14;21519689;1538;KLM35F;PHBCG;KLM;L;98;I;OUTBOUND;12-9-2021 07:20:01;B738;M;EHAM;LGAV;448;390;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:35:10;21519690;1539;KLM65X;PHEZW;KLM;H;122;I;OUTBOUND;12-9-2021 07:20:01;E190;M;EHAM;ENTO;444;390;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:50:11;21519691;1540;KLM1807;PHEZR;KLM;H;113;I;OUTBOUND;12-9-2021 07:20:01;E190;M;EHAM;EDDC;398;310;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:50:12;21519692;1541;THY4QY;TCLSF;THY;L;512;I;INBOUND;12-9-2021 07:20:01;A21N;M;LTFM;EHAM;441;320;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:20:15;21519693;1542;WZZ565;HALVJ;WZZ;L;512;I;REGIONAL;12-9-2021 07:20:01;A21N;M;EHEH;LIRF;436;370;null;100;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:20:11;21519694;1543;SVA3041;TFAMB;SVA;L;1108;I;REGIONAL;12-9-2021 07:20:01;B744;H;EHBK;KJFK;493;320;null;60;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:05:14;21519695;1544;NJE019F;CSPHI;NJE;H;1857;I;REGIONAL;12-9-2021 07:21:01;E55P;M;ELLX;EHRD;406;240;160;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 12:05:14;21519696;1545;EJU83MF;OEIVQ;EJU;L;512;I;OUTBOUND;12-9-2021 07:21:01;A320;M;EHAM;LIRF;436;370;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:35:11;21519697;1546;TRA44A;PHHSF;TRA;L;2932;I;INBOUND;12-9-2021 07:22:01;B738;M;LEAL;EHAM;445;380;220;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 12:05:16;21519698;1547;KLM40Z;PHEZZ;KLM;H;3989;I;INBOUND;12-9-2021 07:22:01;E190;M;EGPD;EHAM;446;230;250;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 12:20:15;21519699;1548;KLM56W;PHBGQ;KLM;L;1883;I;INBOUND;12-9-2021 07:23:00;B737;M;ENBR;EHAM;463;410;260;null;0;null;OBSERVED,CONTROLLED;0
12-9-2021 17:05:10;21519700;1549;PHSWP;null;null;S;3331;V;REGIONAL;12-9-2021 07:24:05;C208;L;EHHO;EHHO;100;0;null;null;0;null;CANCELLED,OBSERVED,CONTROLLED;0
12-9-2021 11:20:15;21519701;1550;TRA105M;PHHSI;TRA;L;1103;I;REGIONAL;12-9-2021 07:25:00;B738;M;EHEH;LEVC;383;230;null;190;0;null;OBSERVED,CONTROLLED;0
12-9-2021 11:50:13;21519702;1551;KLM15P;PHBXA;KLM;L;512;I;OUTBOUND;12-9-2021 07:25:00;B738;M;EHAM;LFPG;444;290;null;260;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:35:16;21519703;1552;KLM47A;PHEXW;KLM;L;512;I;OUTBOUND;12-9-2021 07:25:00;E75L;M;EHAM;EDDF;371;270;null;250;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:35:10;21519704;1553;KLM611;PHBQI;KLM;L;1104;I;OUTBOUND;12-9-2021 07:25:00;B772;H;EHAM;KORD;481;340;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:50:13;21519705;1554;KLM677;PHAKF;KLM;L;1098;I;OUTBOUND;12-9-2021 07:25:00;A333;H;EHAM;CYYC;467;340;null;240;0;LOCKED;OBSERVED,CONTROLLED;0
12-9-2021 11:20:17;21519706;1555;RYR83JE;EIDWH;RYR;S;1097;I;REGIONAL;12-9-2021 07:25:00;B738;M;EHEH;LEPA;442;370;null;160;0;null;OBSERVED,CONTROLLED;0
